 datData; strNomePraca; strCodigoCategoria; numMesReferencia; numAnoReferencia; numValorArrecadado; numQuantidadeVeiculos
01/11/2013; PRAIA DO SOL; CAT4   ; 11; 2013; 3585.60; 166 
01/11/2013; PRAIA DO SOL; CAT5   ; 11; 2013; 57.60; 4 
01/11/2013; PRAIA DO SOL; CAT6   ; 11; 2013; 1497.60; 52 
01/11/2013; PRAIA DO SOL; CAT7   ; 11; 2013; 1512.00; 42 
01/11/2013; PRAIA DO SOL; CAT8   ; 11; 2013; 1641.60; 38 
01/11/2013; PRAIA DO SOL; CAT88  ; 11; 2013; 0.00; 281 
01/11/2013; PRAIA DO SOL; CAT9   ; 11; 2013; 1785.60; 496 
01/11/2013; TERCEIRA PONTE; CAT1   ; 11; 2013; 70881.60; 88602 
01/11/2013; TERCEIRA PONTE; CAT2   ; 11; 2013; 1048.00; 655 
01/11/2013; TERCEIRA PONTE; CAT3   ; 11; 2013; 84.00; 70 
01/11/2013; TERCEIRA PONTE; CAT4   ; 11; 2013; 45.60; 19 
01/11/2013; TERCEIRA PONTE; CAT5   ; 11; 2013; 8.00; 5 
01/11/2013; TERCEIRA PONTE; CAT6   ; 11; 2013; 3.20; 1 
01/11/2013; TERCEIRA PONTE; CAT7   ; 11; 2013; 0.00; 0 
01/11/2013; TERCEIRA PONTE; CAT8   ; 11; 2013; 0.00; 0 
01/11/2013; TERCEIRA PONTE; CAT88  ; 11; 2013; 0.00; 1463 
01/11/2013; TERCEIRA PONTE; CAT9   ; 11; 2013; 3410.80; 8527 
01/12/2013; PRAIA DO SOL; CAT1   ; 12; 2013; 81417.60; 11308 
01/12/2013; PRAIA DO SOL; CAT2   ; 12; 2013; 2289.60; 159 
01/12/2013; PRAIA DO SOL; CAT3   ; 12; 2013; 151.20; 14 
01/12/2013; PRAIA DO SOL; CAT4   ; 12; 2013; 2224.80; 103 
01/12/2013; PRAIA DO SOL; CAT5   ; 12; 2013; 14.40; 1 
01/12/2013; PRAIA DO SOL; CAT6   ; 12; 2013; 489.60; 17 
01/12/2013; PRAIA DO SOL; CAT7   ; 12; 2013; 324.00; 9 
01/12/2013; PRAIA DO SOL; CAT8   ; 12; 2013; 259.20; 6 
01/12/2013; PRAIA DO SOL; CAT9   ; 12; 2013; 2451.60; 681 
01/12/2013; TERCEIRA PONTE; CAT1   ; 12; 2013; 46458.40; 58073 
01/12/2013; TERCEIRA PONTE; CAT2   ; 12; 2013; 504.00; 315 
01/12/2013; TERCEIRA PONTE; CAT3   ; 12; 2013; 80.40; 67 
01/12/2013; TERCEIRA PONTE; CAT4   ; 12; 2013; 88.80; 37 
01/12/2013; TERCEIRA PONTE; CAT5   ; 12; 2013; 3.20; 2 
01/12/2013; TERCEIRA PONTE; CAT6   ; 12; 2013; 6.40; 2 
01/12/2013; TERCEIRA PONTE; CAT7   ; 12; 2013; 0.00; 0 
01/12/2013; TERCEIRA PONTE; CAT8   ; 12; 2013; 0.00; 0 
01/12/2013; TERCEIRA PONTE; CAT9   ; 12; 2013; 1408.40; 3521 
02/01/2013; PRAIA DO SOL; CAT1; 1; 2013; 129470.40; 17982 
02/01/2013; PRAIA DO SOL; CAT2; 1; 2013; 6062.40; 421 
02/01/2013; PRAIA DO SOL; CAT3; 1; 2013; 421.20; 39 
02/01/2013; PRAIA DO SOL; CAT4; 1; 2013; 3931.20; 182 
02/01/2013; PRAIA DO SOL; CAT5; 1; 2013; 0.00; 0 
02/01/2013; PRAIA DO SOL; CAT6; 1; 2013; 806.40; 28 
02/01/2013; PRAIA DO SOL; CAT7; 1; 2013; 504.00; 14 
02/01/2013; PRAIA DO SOL; CAT8; 1; 2013; 777.60; 18 
02/01/2013; PRAIA DO SOL; CAT88; 1; 2013; 0.00; 136 
02/01/2013; PRAIA DO SOL; CAT9; 1; 2013; 2606.40; 724 
02/01/2013; TERCEIRA PONTE; CAT1; 1; 2013; 127702.80; 67212 
02/01/2013; TERCEIRA PONTE; CAT2; 1; 2013; 6547.40; 1723 
02/01/2013; TERCEIRA PONTE; CAT3; 1; 2013; 125.40; 44 
02/01/2013; TERCEIRA PONTE; CAT4; 1; 2013; 125.40; 22 
02/01/2013; TERCEIRA PONTE; CAT5; 1; 2013; 0.00; 0 
02/01/2013; TERCEIRA PONTE; CAT6; 1; 2013; 7.60; 1 
02/01/2013; TERCEIRA PONTE; CAT7; 1; 2013; 0.00; 0 
02/01/2013; TERCEIRA PONTE; CAT8; 1; 2013; 11.40; 1 
02/01/2013; TERCEIRA PONTE; CAT88; 1; 2013; 0.00; 236 
02/01/2013; TERCEIRA PONTE; CAT9; 1; 2013; 6693.70; 7046 
02/02/2013; PRAIA DO SOL; CAT1; 2; 2013; 90136.80; 12519 
02/02/2013; PRAIA DO SOL; CAT2; 2; 2013; 4276.80; 297 
02/02/2013; PRAIA DO SOL; CAT3; 2; 2013; 550.80; 51 
02/02/2013; PRAIA DO SOL; CAT4; 2; 2013; 2289.60; 106 
02/02/2013; PRAIA DO SOL; CAT5; 2; 2013; 28.80; 2 
02/02/2013; PRAIA DO SOL; CAT6; 2; 2013; 633.60; 22 
02/02/2013; PRAIA DO SOL; CAT7; 2; 2013; 216.00; 6 
02/02/2013; PRAIA DO SOL; CAT8; 2; 2013; 734.40; 17 
02/02/2013; PRAIA DO SOL; CAT88; 2; 2013; 0.00; 155 
02/02/2013; PRAIA DO SOL; CAT9; 2; 2013; 2394.00; 665 
02/02/2013; TERCEIRA PONTE; CAT1; 2; 2013; 116243.90; 61181 
02/02/2013; TERCEIRA PONTE; CAT2; 2; 2013; 1546.60; 407 
02/02/2013; TERCEIRA PONTE; CAT3; 2; 2013; 205.20; 72 
02/02/2013; TERCEIRA PONTE; CAT4; 2; 2013; 74.10; 13 
02/02/2013; TERCEIRA PONTE; CAT5; 2; 2013; 19.00; 5 
02/02/2013; TERCEIRA PONTE; CAT6; 2; 2013; 0.00; 0 
02/02/2013; TERCEIRA PONTE; CAT7; 2; 2013; 0.00; 0 
02/02/2013; TERCEIRA PONTE; CAT8; 2; 2013; 0.00; 0 
02/02/2013; TERCEIRA PONTE; CAT88; 2; 2013; 0.00; 155 
02/02/2013; TERCEIRA PONTE; CAT9; 2; 2013; 4180.00; 4400 
02/03/2013; PRAIA DO SOL; CAT1; 3; 2013; 67989.60; 9443 
02/03/2013; PRAIA DO SOL; CAT2; 3; 2013; 4060.80; 282 
02/03/2013; PRAIA DO SOL; CAT3; 3; 2013; 388.80; 36 
02/03/2013; PRAIA DO SOL; CAT4; 3; 2013; 1987.20; 92 
02/03/2013; PRAIA DO SOL; CAT5; 3; 2013; 14.40; 1 
02/03/2013; PRAIA DO SOL; CAT6; 3; 2013; 460.80; 16 
02/03/2013; PRAIA DO SOL; CAT7; 3; 2013; 504.00; 14 
02/03/2013; PRAIA DO SOL; CAT8; 3; 2013; 691.20; 16 
02/03/2013; PRAIA DO SOL; CAT88; 3; 2013; 0.00; 123 
02/03/2013; PRAIA DO SOL; CAT9; 3; 2013; 1962.00; 545 
02/03/2013; TERCEIRA PONTE; CAT1; 3; 2013; 118202.80; 62212 
02/03/2013; TERCEIRA PONTE; CAT2; 3; 2013; 1086.80; 286 
02/03/2013; TERCEIRA PONTE; CAT3; 3; 2013; 270.75; 95 
02/03/2013; TERCEIRA PONTE; CAT4; 3; 2013; 51.30; 9 
02/03/2013; TERCEIRA PONTE; CAT5; 3; 2013; 38.00; 10 
02/03/2013; TERCEIRA PONTE; CAT6; 3; 2013; 7.60; 1 
02/03/2013; TERCEIRA PONTE; CAT7; 3; 2013; 0.00; 0 
02/03/2013; TERCEIRA PONTE; CAT8; 3; 2013; 0.00; 0 
02/03/2013; TERCEIRA PONTE; CAT88; 3; 2013; 0.00; 1029 
02/03/2013; TERCEIRA PONTE; CAT9; 3; 2013; 3708.80; 3904 
02/04/2013; PRAIA DO SOL; CAT1; 4; 2013; 53575.20; 7441 
02/04/2013; PRAIA DO SOL; CAT2; 4; 2013; 6177.60; 429 
02/04/2013; PRAIA DO SOL; CAT3; 4; 2013; 129.60; 12 
02/04/2013; PRAIA DO SOL; CAT4; 4; 2013; 3067.20; 142 
02/04/2013; PRAIA DO SOL; CAT5; 4; 2013; 0.00; 0 
02/04/2013; PRAIA DO SOL; CAT6; 4; 2013; 864.00; 30 
02/04/2013; PRAIA DO SOL; CAT7; 4; 2013; 1296.00; 36 
02/04/2013; PRAIA DO SOL; CAT8; 4; 2013; 1641.60; 38 
02/04/2013; PRAIA DO SOL; CAT9; 4; 2013; 1864.80; 518 
02/04/2013; TERCEIRA PONTE; CAT1; 4; 2013; 144937.70; 76283 
02/04/2013; TERCEIRA PONTE; CAT2; 4; 2013; 2371.20; 624 
02/04/2013; TERCEIRA PONTE; CAT3; 4; 2013; 54.15; 19 
02/04/2013; TERCEIRA PONTE; CAT4; 4; 2013; 74.10; 13 
02/04/2013; TERCEIRA PONTE; CAT5; 4; 2013; 19.00; 5 
02/04/2013; TERCEIRA PONTE; CAT6; 4; 2013; 0.00; 0 
02/04/2013; TERCEIRA PONTE; CAT7; 4; 2013; 0.00; 0 
02/04/2013; TERCEIRA PONTE; CAT8; 4; 2013; 0.00; 0 
02/04/2013; TERCEIRA PONTE; CAT9; 4; 2013; 8413.20; 8856 
02/05/2013; PRAIA DO SOL; CAT1; 5; 2013; 56260.80; 7814 
02/05/2013; PRAIA DO SOL; CAT2; 5; 2013; 6465.60; 449 
02/05/2013; PRAIA DO SOL; CAT3; 5; 2013; 216.00; 20 
02/05/2013; PRAIA DO SOL; CAT4; 5; 2013; 2829.60; 131 
02/05/2013; PRAIA DO SOL; CAT5; 5; 2013; 28.80; 2 
02/05/2013; PRAIA DO SOL; CAT6; 5; 2013; 835.20; 29 
02/05/2013; PRAIA DO SOL; CAT7; 5; 2013; 936.00; 26 
02/05/2013; PRAIA DO SOL; CAT8; 5; 2013; 1252.80; 29 
02/05/2013; PRAIA DO SOL; CAT9; 5; 2013; 1933.20; 537 
02/05/2013; TERCEIRA PONTE; CAT1; 5; 2013; 142496.20; 74998 
02/05/2013; TERCEIRA PONTE; CAT2; 5; 2013; 2473.80; 651 
02/05/2013; TERCEIRA PONTE; CAT3; 5; 2013; 125.40; 44 
02/05/2013; TERCEIRA PONTE; CAT4; 5; 2013; 228.00; 40 
02/05/2013; TERCEIRA PONTE; CAT5; 5; 2013; 0.00; 0 
02/05/2013; TERCEIRA PONTE; CAT6; 5; 2013; 7.60; 1 
02/05/2013; TERCEIRA PONTE; CAT7; 5; 2013; 0.00; 0 
02/05/2013; TERCEIRA PONTE; CAT8; 5; 2013; 0.00; 0 
02/05/2013; TERCEIRA PONTE; CAT9; 5; 2013; 8362.85; 8803 
02/06/2013; PRAIA DO SOL; CAT1; 6; 2013; 101923.20; 14156 
02/06/2013; PRAIA DO SOL; CAT2; 6; 2013; 2836.80; 197 
02/06/2013; PRAIA DO SOL; CAT3; 6; 2013; 604.80; 56 
02/06/2013; PRAIA DO SOL; CAT4; 6; 2013; 2484.00; 115 
02/06/2013; PRAIA DO SOL; CAT5; 6; 2013; 0.00; 0 
02/06/2013; PRAIA DO SOL; CAT6; 6; 2013; 201.60; 7 
02/06/2013; PRAIA DO SOL; CAT7; 6; 2013; 324.00; 9 
02/06/2013; PRAIA DO SOL; CAT8; 6; 2013; 648.00; 15 
02/06/2013; PRAIA DO SOL; CAT88; 6; 2013; 0.00; 139 
